coverRef,receiptId,healthPremiumInclTax,healthTax,healthBrokerFee,healthHthc,expected_premium,diff
sub_1K1tYsF5i98BakySzmkNmRgW-250268600275820,no_discount-2CCBD08A-10148-0,29.99,2.597142857,6.25,20.01,28.857142857,1.132857142999999
sub_1KC5W2F5i98BakySex0kYETT-0,no_discount-2CCBD08A-14267-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K6F8GF5i98BakySUghTHwwp-250268512584104,no_discount-2CCBD08A-12044-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1K1vnWF5i98BakySAZVEtK1M-250268743433298,no_discount-2CCBD08A-10195-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K3fTOF5i98BakySVMC1GyDH-250268732565716,no_discount-2CCBD08A-10986-0,31.99,2.780769231,6.166666667,21.95,30.897435897999998,1.0925641020000008
sub_1JiHNNF5i98BakySDyYir3Kl-238MMX,no_discount-2CCBD08A-11343-2,15.99,1.233296703,2.61,9.86,13.703296703,2.2867032970000007
sub_1JiHNNF5i98BakySDyYir3Kl-238MMX,no_discount-in_1JiHNNF5i98BakySqxXwLIXX-238MMX,15.99,1.233296703,2.61,9.86,13.703296703,2.2867032970000007
sub_1JiHNNF5i98BakySDyYir3Kl-238MMX,no_discount-in_1JtWA0F5i98BakySxqRUQhbd-238MMX,15.99,1.233296703,2.61,9.86,13.703296703,2.2867032970000007
sub_1K1T7aF5i98BakySPhV6IJu5-250268731148088,no_discount-2CCBD08A-14359-0,51.99,4.306648352,12.465,31.08,47.851648352,4.138351648000004
sub_1K1T7aF5i98BakySPhV6IJu5-250268731148088,no_discount-in_1K1T7aF5i98BakySTQbRb7X4-250268731148088,51.99,4.306648352,12.465,31.08,47.851648352,4.138351648000004
sub_1K9RW0F5i98BakySm2SZqnMj-0,no_discount-2CCBD08A-13280-0,32.99,2.852472527,7.141666667,21.7,31.694139194,1.2958608060000003
sub_1K6AWEF5i98BakySLVx5dAlu-250269802749290,no_discount-2CCBD08A-11992-0,26.99,2.337527473,5.625,18.01,25.972527473,1.017472526999999
sub_1K2HoZF5i98BakySkfZma3iE-250269810640174,no_discount-2CCBD08A-10403-0,38.99,3.343846154,9.8,24.01,37.153846154,1.836153846000002
sub_1KABvLF5i98BakyS4q6zKwIY-0,no_discount-2CCBD08A-13559-0,49.99,4.29032967,12.4,30.98,47.67032967,2.319670330000001
sub_1K2XzbF5i98BakySC4yeK6JP-967000010048780,no_discount-2CCBD08A-10492-0,26.99,2.337527473,5.625,18.01,25.972527473,1.017472526999999
sub_1K4l8XF5i98BakySrZHoQdxE-250268712435914,no_discount-2CCBD08A-11513-0,29.99,2.573241758,7.458333333,18.56,28.591575091,1.3984249089999992
sub_K1dBduy4HqsfST-250268732772140,no_discount-2CCBD08A-11863-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_K1dBduy4HqsfST-250268732772140,no_discount-in_1JNZvBF5i98BakySwdnWcPkR-250268732772140,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_K1dBduy4HqsfST-250268732772140,no_discount-in_1JYohzF5i98BakySX9mRJnpp-250268732772140,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_K1dBduy4HqsfST-250268732772140,no_discount-in_1Jjh0QF5i98BakySGxdnLtNU-250268732772140,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_K1dBduy4HqsfST-250268732772140,no_discount-in_1JuvlwF5i98BakySqHVvTrGP-250268732772140,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1KCLs8F5i98BakyS6PArDyiu-0,no_discount-2CCBD08A-14350-0,32.99,2.852472527,7.141666667,21.7,31.694139194,1.2958608060000003
sub_1Jf6sgF5i98BakySrSuntQ0D-250269606814390,no_discount-2CCBD08A-14296-0,35.99,2.88989011,5.32,23.9,32.109890109999995,3.880109890000007
sub_1Jf6sgF5i98BakySrSuntQ0D-250269606814390,no_discount-in_1Jf6sgF5i98BakyShqJjR9x6-250269606814390,35.99,2.88989011,5.32,23.9,32.109890109999995,3.880109890000007
sub_1Jf6sgF5i98BakySrSuntQ0D-250269606814390,no_discount-in_1JpzBMF5i98BakySmqHaOq6E-250269606814390,35.99,2.88989011,5.32,23.9,32.109890109999995,3.880109890000007
sub_1Jf6sgF5i98BakySrSuntQ0D-250269606814390,no_discount-in_1K1DxDF5i98BakyS1K1F0m9d-250269606814390,35.99,2.88989011,5.32,23.9,32.109890109999995,3.880109890000007
sub_1KC54yF5i98BakySyawScg4w-0,no_discount-2CCBD08A-14260-0,33.99,2.952857143,6.616666667,23.24,32.80952381,1.1804761900000003
sub_1KCMTQF5i98BakySnKLOB62w-0,no_discount-2CCBD08A-14363-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1JwrzTF5i98BakySFaVIYGYk-250269802287472,no_discount-2CCBD08A-12705-1,27.99,2.295741758,7.4025,15.81,25.508241758,2.481758241999998
sub_1JwrzTF5i98BakySFaVIYGYk-250269802287472,no_discount-in_1JwrzTF5i98BakySopMWDAiA-250269802287472,27.99,2.295741758,7.4025,15.81,25.508241758,2.481758241999998
sub_K6wP0rlfZtLZBi-250269810316536,no_discount-2CCBD08A-13792-0,30.99,1.450879121,2.67,12.0,16.120879121,14.869120878999997
sub_K6wP0rlfZtLZBi-250269810316536,no_discount-in_1JSiWFF5i98BakyS8pmBmyNm-250269810316536,30.99,1.450879121,2.67,12.0,16.120879121,14.869120878999997
sub_K6wP0rlfZtLZBi-250269810316536,no_discount-in_1JdxIOF5i98BakyS1IeXgqE0-250269810316536,30.99,1.450879121,2.67,12.0,16.120879121,14.869120878999997
sub_K6wP0rlfZtLZBi-250269810316536,no_discount-in_1Jopb8F5i98BakySgmuLPSk5-250269810316536,30.99,1.450879121,2.67,12.0,16.120879121,14.869120878999997
sub_K6wP0rlfZtLZBi-250269810316536,no_discount-in_1K04OJF5i98BakyS0aPgIhUl-250269810316536,30.99,1.450879121,2.67,12.0,16.120879121,14.869120878999997
sub_1K2CqwF5i98BakySLMHZom02-250268732189659,no_discount-2CCBD08A-10322-0,25.99,2.24521978,5.691666667,17.01,24.946886447,1.0431135529999978
sub_1KBQkBF5i98BakySa5jO4KsY-0,no_discount-2CCBD08A-13983-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1KClTxF5i98BakyS9pEWlmQc-0,no_discount-2CCBD08A-14525-0,21.99,1.885714286,5.516666667,13.55,20.952380953000002,1.0376190469999962
sub_1K1tZ8F5i98BakySswIfZRPl-250269604895514,no_discount-2CCBD08A-10149-0,33.99,2.916098901,8.475,21.01,32.401098901,1.5889010990000045
sub_1JrPJkF5i98BakyS1eVrwa2h-250269810654977,no_discount-2CCBD08A-10421-0,59.99,5.296978022,16.29833333,37.26,58.855311352,1.134688648000001
sub_1JrPJkF5i98BakyS1eVrwa2h-250269810654977,no_discount-in_1JrPJkF5i98BakySsEJHSmYs-250269810654977,59.99,5.296978022,16.29833333,37.26,58.855311352,1.134688648000001
sub_1K1uPZF5i98BakySxU6TokzE-250269811442076,no_discount-2CCBD08A-10160-0,46.99,4.064835165,10.05,31.05,45.164835165,1.8251648350000025
sub_1K4kahF5i98BakyS35EMNGMp-250268731605131,no_discount-2CCBD08A-11501-0,25.99,2.24521978,5.691666667,17.01,24.946886447,1.0431135529999978
sub_1KBe7yF5i98BakySqYIxRaro-0,no_discount-2CCBD08A-14035-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1K4MXuF5i98BakySM56vOLFx-250268732317393,no_discount-2CCBD08A-11306-0,33.99,2.952857143,6.616666667,23.24,32.80952381,1.1804761900000003
sub_1K0rlbF5i98BakySWIJWyNMy-250269811400596,no_discount-2CCBD08A-14117-0,20.99,1.772802198,4.005,13.92,19.697802197999998,1.2921978020000005
sub_1K0rlbF5i98BakySWIJWyNMy-250269811400596,no_discount-in_1K0rlbF5i98BakySsfDlbHjx-250269811400596,20.99,1.772802198,4.005,13.92,19.697802197999998,1.2921978020000005
sub_1KC9vOF5i98BakySbREgDimJ-0,no_discount-2CCBD08A-14313-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1JdVh3F5i98BakyS4t0f7zHa-250268502133524,no_discount-2CCBD08A-13645-0,34.99,2.875549451,4.235,24.84,31.950549451,3.0394505490000014
sub_1JdVh3F5i98BakyS4t0f7zHa-250268502133524,no_discount-in_1JdVh3F5i98BakySZPnsCU0m-250268502133524,34.99,2.875549451,4.235,24.84,31.950549451,3.0394505490000014
sub_1JdVh3F5i98BakyS4t0f7zHa-250268502133524,no_discount-in_1JoNzvF5i98BakySuLJxur3h-250268502133524,34.99,2.875549451,4.235,24.84,31.950549451,3.0394505490000014
sub_1JdVh3F5i98BakyS4t0f7zHa-250268502133524,no_discount-in_1JzclpF5i98BakySwLcUSLx3-250268502133524,34.99,2.875549451,4.235,24.84,31.950549451,3.0394505490000014
sub_1K1xLFF5i98BakySyceH5ebE-250269610153038,no_discount-2CCBD08A-10243-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1KBMQaF5i98BakySah7yJCYD-0,no_discount-2CCBD08A-13947-0,21.99,1.885714286,5.516666667,13.55,20.952380953000002,1.0376190469999962
sub_Jqksfu8HXR6GnX-250268743479966,no_discount-2CCBD08A-12135-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_Jqksfu8HXR6GnX-250268743479966,no_discount-in_1JD3MsF5i98BakySEognFHvD-250268743479966,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_Jqksfu8HXR6GnX-250268743479966,no_discount-in_1JOI95F5i98BakySrBzCWeMh-250268743479966,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_Jqksfu8HXR6GnX-250268743479966,no_discount-in_1JZWvEF5i98BakySUWCxy5mu-250268743479966,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_Jqksfu8HXR6GnX-250268743479966,no_discount-in_1JkPDYF5i98BakyS0V8z8OTd-250268743479966,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_Jqksfu8HXR6GnX-250268743479966,no_discount-in_1Jve05F5i98BakyS1scW87si-250268743479966,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1JuHTWF5i98BakySycXr4y8A-250268731602313,no_discount-2CCBD08A-11677-0,39.99,3.371785714,7.7925,26.3,37.464285714,2.525714286000003
sub_1JuHTWF5i98BakySycXr4y8A-250268731602313,no_discount-in_1JuHTWF5i98BakySRB3cEXJg-250268731602313,39.99,3.371785714,7.7925,26.3,37.464285714,2.525714286000003
sub_1K6EKLF5i98BakySVzTp5HOn-250269608408489,no_discount-2CCBD08A-12032-0,31.99,2.780769231,6.166666667,21.95,30.897435897999998,1.0925641020000008
sub_1JiHNNF5i98BakySDyYir3Kl-248CCV,no_discount-2CCBD08A-11343-1,13.99,1.079010989,2.04,8.87,11.989010988999999,2.0009890110000015
sub_1JiHNNF5i98BakySDyYir3Kl-248CCV,no_discount-in_1JiHNNF5i98BakySqxXwLIXX-248CCV,13.99,1.079010989,2.04,8.87,11.989010988999999,2.0009890110000015
sub_1JiHNNF5i98BakySDyYir3Kl-248CCV,no_discount-in_1JtWA0F5i98BakySxqRUQhbd-248CCV,13.99,1.079010989,2.04,8.87,11.989010988999999,2.0009890110000015
sub_1K49uvF5i98BakySmQSyxg6Z-250268712472312,no_discount-2CCBD08A-11271-0,32.99,2.852472527,7.141666667,21.7,31.694139194,1.2958608060000003
sub_1K1uYBF5i98BakyScpgVDcju-348040000004703,no_discount-2CCBD08A-10164-0,38.99,3.373681319,8.291666667,25.82,37.485347986,1.5046520140000013
sub_K3xpz7TX1B3127-947000000451770,no_discount-2CCBD08A-12794-0,51.99,4.580604396,15.235,31.08,50.895604395999996,1.094395604000006
sub_K3xpz7TX1B3127-947000000451770,no_discount-in_1JPpthF5i98BakySl8zNKSDv-947000000451770,51.99,4.580604396,15.235,31.08,50.895604395999996,1.094395604000006
sub_K3xpz7TX1B3127-947000000451770,no_discount-in_1Jb4gPF5i98BakySt731tKN7-947000000451770,51.99,4.580604396,15.235,31.08,50.895604395999996,1.094395604000006
sub_K3xpz7TX1B3127-947000000451770,no_discount-in_1JlwyBF5i98BakyS2EVAtp9d-947000000451770,51.99,4.580604396,15.235,31.08,50.895604395999996,1.094395604000006
sub_K3xpz7TX1B3127-947000000451770,no_discount-in_1JxBlfF5i98BakyS8bfOmFkU-947000000451770,51.99,4.580604396,15.235,31.08,50.895604395999996,1.094395604000006
sub_1JyctQF5i98BakySpiqcrnJL-250269811226468,no_discount-2CCBD08A-13363-0,43.99,3.695934066,8.97,28.4,41.065934066,2.924065934000005
sub_1JyctQF5i98BakySpiqcrnJL-250269811226468,no_discount-in_1JyctQF5i98BakyS6WlzsomC-250269811226468,43.99,3.695934066,8.97,28.4,41.065934066,2.924065934000005
sub_1K6tTAF5i98BakySUynWmpjY-250269606902011,no_discount-2CCBD08A-12274-0,33.99,2.952857143,6.616666667,23.24,32.80952381,1.1804761900000003
sub_1K2gFKF5i98BakyScNBtYdFQ-250269811399394,no_discount-2CCBD08A-10624-0,32.99,2.852472527,7.141666667,21.7,31.694139194,1.2958608060000003
sub_1JrR7nF5i98BakySf4rcJEEy-250269604690551,no_discount-2CCBD08A-10443-0,48.99,4.305082418,15.51916667,28.01,47.83424908800001,1.155750911999995
sub_1JrR7nF5i98BakySf4rcJEEy-250269604690551,no_discount-in_1JrR7nF5i98BakySHhDtJTMr-250269604690551,48.99,4.305082418,15.51916667,28.01,47.83424908800001,1.155750911999995
sub_KB9bVkOFIAyD86-953000010167782,no_discount-2CCBD08A-11108-1,59.99,5.296978022,16.29833333,37.26,58.855311352,1.134688648000001
sub_KB9bVkOFIAyD86-953000010167782,no_discount-in_1JWnI9F5i98BakySSqQbvLly-953000010167782,59.99,5.296978022,16.29833333,37.26,58.855311352,1.134688648000001
sub_KB9bVkOFIAyD86-953000010167782,no_discount-in_1JhfeLF5i98BakySewjLKYSf-953000010167782,59.99,5.296978022,16.29833333,37.26,58.855311352,1.134688648000001
sub_KB9bVkOFIAyD86-953000010167782,no_discount-in_1JsuN3F5i98BakySbS5blMmB-953000010167782,59.99,5.296978022,16.29833333,37.26,58.855311352,1.134688648000001
sub_1K8lX3F5i98BakySJD8UTDIx-250268711096550,no_discount-2CCBD08A-13046-0,38.99,3.373681319,8.291666667,25.82,37.485347986,1.5046520140000013
sub_1K8LKrF5i98BakyS8yZemzdq-250268731880596,no_discount-2CCBD08A-12851-0,38.99,3.373681319,8.291666667,25.82,37.485347986,1.5046520140000013
sub_1K2DVMF5i98BakySVFBWgign-250269608994013,no_discount-2CCBD08A-10333-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K4pPRF5i98BakySLFopd436-250268731327751,no_discount-2CCBD08A-11572-0,59.99,5.15043956,14.81666667,37.26,57.22710623,2.762893770000005
sub_1K9WoUF5i98BakySmLo6c61s-1,no_discount-2CCBD08A-13369-1,29.99,2.573241758,7.458333333,18.56,28.591575091,1.3984249089999992
sub_1K3yKcF5i98BakySMp4CcF23-499091100017520,no_discount-2CCBD08A-11123-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K2M5QF5i98BakyS1RvRbf9Y-990000001916994,no_discount-2CCBD08A-10463-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1K9t7SF5i98BakySZqRnac1K-0,no_discount-2CCBD08A-13484-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K86Z7F5i98BakySfNygVIQR-250269608062997,no_discount-2CCBD08A-12809-0,29.99,2.597142857,6.25,20.01,28.857142857,1.132857142999999
sub_1K2K5TF5i98BakySPHWcwyfa-250268730224207,no_discount-2CCBD08A-10440-0,27.99,2.377087912,8.225,15.81,26.412087912,1.577912087999998
sub_1K55gGF5i98BakySrI6s606r-250269606693498,no_discount-2CCBD08A-11626-0,32.99,2.852472527,7.141666667,21.7,31.694139194,1.2958608060000003
sub_1K9p5xF5i98BakySo2fEnFP9-0,no_discount-2CCBD08A-13450-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1JtSETF5i98BakySY5fpVfBq-250269590614259,no_discount-2CCBD08A-11294-0,26.99,2.309340659,4.23,19.12,25.659340659,1.330659340999997
sub_1JtSETF5i98BakySY5fpVfBq-250269590614259,no_discount-in_1JtSETF5i98BakySkqag1BM8-250269590614259,26.99,2.309340659,4.23,19.12,25.659340659,1.330659340999997
sub_1K6C2EF5i98BakySlHKUlDLn-250269802184610,no_discount-2CCBD08A-12009-0,37.99,3.229120879,11.0,21.65,35.879120879,2.1108791210000035
sub_1K556oF5i98BakySP7or69lU-250268712382721,no_discount-2CCBD08A-11621-0,37.99,3.262417582,9.316666667,23.67,36.249084249,1.7409157510000028
sub_1K2IjVF5i98BakyScCiDD0iq-250269811712669,no_discount-2CCBD08A-10422-0,37.99,3.307252747,7.05,26.39,36.747252747000005,1.2427472529999974
sub_1K9SGzF5i98BakySdiliI2qd-0,no_discount-2CCBD08A-13298-0,29.99,2.573241758,7.458333333,18.56,28.591575091,1.3984249089999992
sub_1KBMc2F5i98BakySVNFuLBHm-0,no_discount-2CCBD08A-13951-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1JtshgF5i98BakySwqx9koFG-250269608659415,no_discount-2CCBD08A-11530-0,26.99,2.309340659,4.23,19.12,25.659340659,1.330659340999997
sub_1JtshgF5i98BakySwqx9koFG-250269608659415,no_discount-in_1JtshgF5i98BakySVK4K6rsJ-250269608659415,26.99,2.309340659,4.23,19.12,25.659340659,1.330659340999997
sub_1K1pCRF5i98BakySnGGiRo2a-250253657453627,no_discount-2CCBD08A-10059-0,33.99,2.901263736,9.225,20.11,32.236263736,1.753736264000004
sub_1K1vvrF5i98BakySg1zLWT3i-250269500820340,no_discount-2CCBD08A-10199-0,37.99,3.229120879,11.0,21.65,35.879120879,2.1108791210000035
sub_1K2DX5F5i98BakySErSwQXzz-250269606688429,no_discount-2CCBD08A-10334-1,25.99,2.24521978,5.691666667,17.01,24.946886447,1.0431135529999978
sub_1KC5uoF5i98BakyS2ne58Lhx-0,no_discount-2CCBD08A-14278-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1K1rdWF5i98BakySYoCpKiqo-250268731810654,no_discount-2CCBD08A-10110-0,29.99,2.597142857,6.25,20.01,28.857142857,1.132857142999999
sub_1KAETLF5i98BakySpfPQLf1j-0,no_discount-2CCBD08A-13591-0,33.99,2.901263736,9.225,20.11,32.236263736,1.753736264000004
sub_1K40FtF5i98BakySBvkCMoeL-250269699512227,no_discount-2CCBD08A-11142-0,25.99,2.232527473,6.333333333,16.24,24.805860806,1.1841391940000001
sub_1K3y69F5i98BakyS7bGmuda7-250268502101534,no_discount-2CCBD08A-11122-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1KByfXF5i98BakyS4AKDgSbY-0,no_discount-2CCBD08A-14153-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K5C1eF5i98BakySGsJCac2r-956000003675610,no_discount-2CCBD08A-11695-0,40.99,3.56043956,8.05,27.95,39.56043956,1.429560440000003
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-2CCBD08A-12193-0,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-in_1JD8PRF5i98BakySmkHYE1BY-941000024876724,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-in_1JONCQF5i98BakySHTv2mREz-941000024876724,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-in_1JZby3F5i98BakySOLTA79id-941000024876724,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-in_1JkUG6F5i98BakySG07fpeSR-941000024876724,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-in_1Jvj1wF5i98BakySA2i38SLv-941000024876724,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
sub_1K2CaBF5i98BakySBaqEb4L0-250268732430818,no_discount-2CCBD08A-10313-0,26.99,2.337527473,5.625,18.01,25.972527473,1.017472526999999
sub_1K3dx3F5i98BakySPVkHAoe2-250268710397597,no_discount-2CCBD08A-10961-0,37.99,3.229120879,11.0,21.65,35.879120879,2.1108791210000035
sub_K4M8KkH8qlDU2B-276098106263489,no_discount-2CCBD08A-12920-0,22.99,1.859340659,2.29,16.51,20.659340659,2.330659340999997
